FILENAME,MC
01.jpg,2.400738689
02.jpg,2.287282708
03.jpg,3.199268739
04.jpg,4.67032967
05.jpg,5.909510619
06.jpg,3.896103896
07.jpg,7.791017415
08.jpg,8.348623853
09.jpg,10.28466483
10.jpg,10.18518519
11.jpg,12.66294227
12.jpg,12.62672811
13.jpg,13.25966851
14.jpg,15.48387097
15.jpg,15.04178273
16.jpg,17.75700935
17.jpg,17.48381129
18.jpg,18.20702403
19.jpg,19.98149861
20.jpg,21.24883504
21.jpg,22.98311445
22.jpg,22.52085264
23.jpg,23.26227989
24.jpg,24.69823584
25.jpg,26.68539326
26.jpg,28.44990548
27.jpg,27.77260019
28.jpg,28.23858341
29.jpg,30.24344569
30.jpg,33.80547686
